Название,Жанр,Режиссер,Страны,Год,IMDb
Меч Гедеона,"триллер, драма",Майкл Андерсон,Канада,1986,7.0
Меч и весы,драматический фильм,Андре Кайат,"Франция, Италия",1963,7.0
"Меч (фильм, 1964)","боевик, драма",Кэндзи Мисуми,Япония,1964,7.5
Механический мясник,"Комедия, фантастика",Луи Люмьер,Франция,1895,5.9
"Механик (фильм, 2011)","боевик, драма, триллер",Саймон Уэст,США,2011,6.5
Механическая сюита,"комедия, драма",Дмитрий Месхиев,Россия,2001,6.9
Механик: Воскрешение,"боевик, триллер",Деннис Ганзель,"США, Франция",2016,5.7
Метод профессора Степанова,"Документальное кино, Короткометражное кино",С.И. Якушев,СССР,1959,
Механика головного мозга,документальный фильм,Всеволод Пудовкин,СССР,1926,5.7
Механика счастья,мелодрама,"Нерсес Оганесян, Гор Саакян",СССР,1982,6.4
Мефисто,драма,Иштван Сабо,"Венгрия, Австрия, ФРГ",1981,7.7
"Механик (фильм, 2005)","боевик, драма",Дольф Лундгрен,"США, Германия",2005,5.5
Мех (фильм),"драма, биография",Стивен Шейнберг,США,2006,6.3
Метрополис,"антиутопическая, драма",Фриц Ланг,Веймарская республика,,8.3
Метро Манила (фильм),"драма, криминальный",Шон Эллис,"Филиппины, Великобритания",2013,7.6
"Механик (фильм, 1972)","триллер, боевик",Майкл Уиннер,США,1972,6.8
"Метро (фильм, 2003)","боевик, драма",Пэк Унхак,Республика Корея,2003,5.4
"Метро (фильм, 2013)","фильм-катастрофа, драма, триллер",Антон Мегердичев,Россия,2012,6.4
Метод (фильм),Психологический триллер,Дункан Рой,"Великобритания, Румыния",2004,4.4
Методы доктора Кэри,детектив,Блейк Эдвардс,США,1972,6.1
Метеора (фильм),драма,Спирос Статулопулос,"Германия, Греция",2012,6.2
Метеориты (фильм),научно-популярный фильм,Павел Клушанцев,СССР,1947,6.9
"Месье Ленуар, который…",Детектив,Александр Орлов,СССР,1983,
Метод Грёнхольма,"драма, триллер",Марсело Пиньейро,"Испания, Аргентина, Италия",2005,7.1
Метель (фильм),драма,Владимир Басов,СССР,1964,6.7
Метеор-убийца,"боевик, триллер",Ло Вэй,"Гонконг, Китайская Республика",1976,4.9
Метка Свистуна,"Криминальный фильм, Фильм нуар",Уильям Касл,США,1944,6.6
Метеоидиот,мелодрама,Нана Джорджадзе,"Россия, Грузия, Германия, Нидерланды, Италия, Финляндия",2008,6.2
"Метаморфозы (фильм, 2007)",фильм ужасов,Енё Ходи,"Германия, Венгрия, Канада, Великобритания, Австралия",2007,3.6
"Метеор (фильм, 1979)","боевик, научно-фантастический фильм, приключенческий фильм, фильм-катастрофа, драматический фильм",Рональд Ним,США,"1979, 21 февраля, 1980, 19 октября, 1979",5.0
Металлический шторм: Крах Джаред-Сина,"фантастика, приключенческий фильм, боевик",Чарлз Бэнд,США,1983,3.9
Месяц май,"мелодрама, комедия",Григорий Липшиц,СССР,1965,5.6
Месяц у озера,"романтическая комедия, драматический фильм",Джон Ирвин,"Великобритания, США",1995,6.2
Месяц длинных дней,драма,Сергей Евлахишвили,СССР,,6.0
Месяц август,мелодрама,Вадим Михайлов,СССР,1971,6.9
Месяц в деревне (фильм),мелодрама,Пэт О’Коннор,Великобритания,1987,6.8
Месье Рипуа,драма,Рене Клеман,"Франция, Великобритания",1954,6.8
Месье Кляйн,"мистическая, криминальная драма",Джозеф Лоузи,"Франция, Италия",1976,7.5
Месье Ибрагим и цветы Корана,драма,Франсуа Дюпейрон,Франция,2003,7.3
Месье Верду,"криминальная, трагикомедия",Чарльз Чаплин,США,1947,7.8
Месье Венсан,"историческая, драма, фильм-биография",Морис Клош,Франция,1947,7.0
Месть человека-невидимки,"фильм ужасов, фантастический фильм",Форд Биби,США,1944,5.6
Месть Франкенштейна,Ужасы,Теренс Фишер,Великобритания,1958,6.8
Месть шута,драматический фильм,Дэвид Уорк Гриффит,США,1909,5.2
Месть: История любви,триллер,Джонни Мартин,США,2017,5.2
Месье (фильм),комедия,Жан-Поль Ле Шануа,Франция,1964,6.6
Месть Твари,"фантастика, ужасы",Джек Арнольд,США,1955,5.6
"Месть странницы (фильм, 2012)",Драма,Хайнсйорг Турн,"Германия, Австрия, Чехия, Странствующая блудница",2012,4.9
Месть пушистых,"комедия, семейный",Роджер Камбл,США,2010,3.9
Месть степфордских жён,"фантастика, триллер",Роберт Фуэст,США,1980,4.9
Месть Розовой пантеры,"криминальный фильм, комедия",Блейк Эдвардс,"США, Великобритания",1978,6.6
Месть простофиль,"детективная, кинокомедия",Жиль Гранжье,"Франция, Италия",1961,7.0
Месть полудурков 4: Влюблённые полудурки,комедия,,США,1994,3.8
Месть полудурков 3: Следующее поколение,комедия,Роланд Меса,США,1992,3.9
Месть полудурков 2: Полудурки в раю,комедия,Джо Рот,США,1987,5.1
Месть полудурков,комедия,Джефф Кэнью,США,1984,6.6
Месть от кутюр,"драма, комедия",Джослин Мурхаус,Австралия,2015,7.0
Месть подружек невесты,комедия,Джеймс Хейман,США,2010,5.9
Месть ниндзя,боевик,Сэм Ферстенберг,США,1983,6.0
Месть нерождённому,"ужасы, триллер","Александр Бустилло, Жюльен Мори",Франция,2007,6.7
Месть пастора,боевик,Питер Мэрис,США,1989,3.9
Месть мертвецов,"Фильм ужасов, Триллер",Шелдон Уилсон,США,2004,4.9
Месть Марсельца,драма,Жан Беккер,"Франция, Италия",1961,6.4
Месть и закон,"приключенческий фильм, боевик, комедия, драма, вестерн",Рамеш Сиппи,Индия,1975,8.1
Месть Красного Барона (фильм),фантастика,Роберт Гордон,США,1994,3.3
Месть леди Морган,фильм ужасов,Массимо Пупилло,Италия,1965,6.3
Месть ёлок,"комедия, ужасы, короткометражка",Джейсон Айзенер,Канада,2008,7.3
Месть бедняка,"драма, приключенческий фильм",Лоран Бутонна,Франция,2007,6.4
"Месть актёра (фильм, 1963)",драма,Кон Итикава,Япония,1963,7.4
Месть Аль Капоне,"драма, криминал",Майкл Прессман,США,,5.0
"Месть (фильм, 2010)","драматический, триллер",Сюзанна Бир,"Дания, Швеция",2010,7.6
"Месть актёра (серия из трёх фильмов, 1935—1936)","дзидайгэки, историческая, драма",Тэйноскэ Кинугаса,Япония,,6.7
"Месть (фильм, 2022)","комедия, драма",Б. Дж. Новак,США,2022,6.8
"Месть (фильм, 1990)","боевик, драма",Тони Скотт,США,1989,6.2
Место преступления: Азра,криминальный фильм,Доминик Хартль,"Австрия, Германия","29 мая, 2023",7.2
"Месть (фильм, 1970)","боевик, драма",Чжан Чэ,Гонконг,1970,7.0
"Место преступления (фильм, 1986)",драматический фильм,Андре Тешине,Франция,1986,6.4
"Месть (фильм, 2006)","криминальный фильм, драма, триллер",Азиф Кападиа,США,2006,4.7
"Место под солнцем (фильм, 1982)","короткометражный фильм, драма",Александр Воропаев,СССР,1982,4.6
"Место преступления (фильм, 1949)",Фильм нуар,Рой Роулэнд,США,1949,6.6
"Место под солнцем (фильм, 2012)","триллер, драма",Петер Флинт,Швеция,2012,6.3
"Место под солнцем (фильм, 1951)",драма,Джордж Стивенс,США,1951,7.7
Место под солнцем (телесериал),детективный фильм,Али Хамраев,Россия,2004,
Место встречи (фильм),драма,Паоло Дженовезе,Италия,2017,7.0
Место на кладбище,"Мелодрама, комедия",Пол Вейланд,"Италия, США",1997,7.1
Место действия (фильм),мелодрама,Анатолий Граник,СССР,1983,6.5
Место на Земле,драма,Артур Аристакисян,Россия,2001,7.3
Место назначения — Луна,"научно-фантастический фильм, приключенческий фильм, кинофантастика, драматический фильм, экранизация романа",Ирвинг Пичел,США,"27 июня, 1950",6.3
Местный стигматик,драма,Дэвид Ф. Уилер,США,1990,5.6
Место встречи — станция «Клэпхем»,драма,Адриан Шерголд,Великобритания,,7.2
Места в сердце,драма,Роберт Бентон,США,1984,7.4
Места тут тихие,"военный фильм, драма",Георгий (Егор) Щукин,СССР,1967,6.8
Местный (фильм),"драма, вестерн",Томми Ли Джонс,"США, Франция",2014,6.6
Местный герой,"комедия, драма",Билл Форсайт,Великобритания,1983,7.3
Мессия зла,ужасы,Уиллард Хайк,США,1974,6.4
"Мессия (фильм, 2007)",,Nader Talebzadeh,Иран,2007,4.8
"Мессия (фильм, 1975)","драма, биография",Роберто Росселлини,"Италия, Франция",1975,6.8
"Месси (фильм, 2017)",Спортивный фильм,Риинго Банерджи,Индия,2017,6.9
Месса си минор (фильм),драма,Жан-Луи Гийерму,Франция,1990,3.7
Месмер (фильм),"драма, фильм-биография",Роджер Споттисвуд,"Австрия, Канада, Великобритания, Германия",1994,5.9
"Месси (фильм, 2014)","Документальное кино, Фильм-биография, Спортивный фильм",Алекс Де ла Иглесиа,Испания,2014,7.2
Меры против фанатиков,драматический фильм,Вернер Херцог,ФРГ,1969,5.7
Мёртвый штиль (фильм),"драма, триллер",Филлип Нойс,Австралия,1989,6.8
Мерцающие огни,"Чёрная комедия, драма",Андерс Томас Йенсен,Дания,2000,7.5
Мерцающий,боевик,Джон Грэй,США,1996,5.4
Мёртвый человек,"драма, триллер",Кристиан Петцольд,Германия,2001,7.2
"Мёртвый сезон (фильм, 2023)",драматический фильм,Стефан Бризе,Франция,2023,6.5
"Мёртвый сезон (фильм, 1968)",политический детектив,Савва Кулиш,СССР,1968,7.4
"Мёртвый сезон (фильм, 1975)",драма,Алан Бриджес,Великобритания,1975,5.9
Мёртвый отель,фильм ужасов о сверхъестественном,Эд Уинфилд,США,2007,2.8
Мёртвый дом,"фильм-биография, драма",Василий Фёдоров,СССР,1932,6.5
Мёртвый космос,фантастика,Фред Галло,США,1990,3.5
Мёртвый полицейский,"боевик, зомби-комедия, бадди коп",Марк Голдблатт,США,1988,6.1
Мёртвые президенты,"триллер, драма, криминальный фильм, военный фильм",Братья Хьюз,США,1995,6.9
Мёртвые пледов не носят,чёрная комедия,Карл Райнер,США,1982,6.8
Мёртвые не летают,драма,Сесил Говард,США,1992,4.2
"Мёртвые, как я: Жизнь после смерти",комедийная драма,Стивен Хэрек,США,2009,6.0
"Мёртвые души (фильм, 1909)",комедия,Пётр Чардынин,Российская империя,1909,6.0
"Мёртвые души (фильм, 1984)","сатирическая, трагикомедия",Михаил Швейцер,СССР,1984,7.5
Мёртвые дочери,"ужасы, мистика, триллер",Павел Руминов,Россия,2007,4.0
"Мёртвые души (фильм, 1960)",драма,Леонид Трауберг,СССР,1960,7.8
Мёртвые жизни,комедия,Уильям Марш,Великобритания,2000,4.6
Мёртвые дети,"ужасы, фантастика, триллер, детектив",Майкл Лофлин,"Австралия, Новая Зеландия",1981,5.6
Мёртвые 2: Индия,фильм о зомби,"Ховард Дж. Форд, Джон Форд",Великобритания,2013,5.1
"Мёртвые (фильм, 2010)",фильм о зомби,"Ховард Дж. Форд, Джон Форд",Великобритания,2010,5.7
"Мёртвое озеро (фильм, 1958)","мистика, фильм ужасов",Коре Бергстрём,Норвегия,1958,6.9
"Мёртвые (фильм, 1987)",драма,Джон Хьюстон,"США, Ирландия, Великобритания",1987,7.2
Мертвечина (фильм),фильм ужасов,Конор МакМахон,Ирландия,2004,4.7
Мертвец-убийца,"боевик, детектив, приключенческий фильм",Луи Фейад,Франция,1913,6.9
Мертвецам не больно,,Вигго Мортенсен,США,"8 сентября, 2023",6.8
Мертвец идёт,криминальная драма,Тим Роббинс,США,1995,7.5
Мертвец (фильм),"вестерн, притча",Джим Джармуш,"США, Германия, Япония",1995,7.5
Мертвец в колледже,комедия,Алан Кон,США,1998,6.0
Мёртвая тишина,ужасы,Джеймс Ван,США,2007,6.1
Мёртвая цель,"боевик, криминальный фильм, драма",Уильям Вандерклут,США,1987,4.9
Мёртвая королева,"исторический фильм, мелодрама, экранизация",Пьер Бутрон,Франция,,6.7
Мёртвая зона (фильм),"мистический фильм, фильм ужасов, триллер",Дэвид Кроненберг,"США, Канада",1983,7.2
«Мерседес» уходит от погони,"приключенческий фильм, военный, боевик",Юрий Ляшенко,СССР,1980,6.2
Мерлюсс,драматический фильм,Марсель Паньоль,Франция,1935,6.9
"Мёртв по прибытии (фильм, 1950)",нуар,Рудольф Мате,США,1950,7.2
Меркурий в опасности,"боевик, криминальный фильм, драма, триллер",Харолд Беккер,США,1998,6.1
Меридиан (фильм),мелодрама,Чарлз Бэнд,США,1990,5.0
Мёртвая девушка,драма,Карен Монкрифф,США,2006,6.6
"Мерзавец (фильм, 1989)","драматический фильм, трагикомедия",Вагиф Мустафаев,СССР,1988,7.3
Мера пресечения (фильм),"драма, детектив",Лев Цуцульковский,СССР,,5.8
Мёрзлая земля (фильм),криминальный триллер,Скотт Уокер,США,2013,6.4
"Мерзавец (фильм, 2003)","драма, биографический",Марио Ван Пиблз,США,2003,7.3
Меняющие реальность,"фантастика, мелодрама, триллер",Джордж Нолфи,США,2011,7.0
Меняемся воротами,"комедия, семейный фильм, спортивный фильм",Дэвид Стейнберг,США,1999,4.9
Меняю собаку на паровоз,комедия,Никита Хубов,СССР,1975,6.1
Меня это не касается…,Детектив,Герберт Раппапорт,СССР,1976,5.6
Менялы (фильм),комедия,Георгий Шенгелия,Россия,1992,7.0
Меня там нет,биография,Тодд Хейнс,США,2007,6.8
Меня зовут Никто,"вестерн, комедия",Тонино Валери,"Италия, Франция, Германия","13 декабря, 1973, 14 декабря, 1973, 21 декабря, 1973, 17 июля, 1974",7.3
Меня полюбят после моей смерти,документальный,Морган Невилл,США,2018,7.4
Меня зовут Троица,"вестерн, комедия",Энцо Барбони,Италия,1970,7.4
Меня зовут Майя,драматический фильм,Tommaso Agnese,Италия,2015,4.9
Меня зовут Кожа,"детский, комедия",Абдулла Карсакбаев,СССР,1963,7.6
Меня зовут Сара,"драма, комедия",Пол А. Кауфман,США,2007,5.9
Меня зовут Майкл,драма,Джастин Келли,США,2015,5.6
Меня зовут Кхан,"мелодрама, драма",Каран Джохар,Индия,2010,7.9
Меня зовут Долемайт,"Фильм-биография, комедия, драма","Крэйг Брюэр, рус.",США,2019,7.2
Меня зовут Джулия Росс,нуар,Джозеф Х. Льюис,США,1945,7.0
Меня ждут на земле,драма,Марк Толмачёв,СССР,1976,5.8
Меня зовут Джо,"драматический фильм, комедийный фильм, романтический фильм",Кен Лоуч,Великобритания,1998,7.4
Меня зовут Арлекино,драма,Валерий Рыбарев,СССР,1988,6.2
Меня зовут «Знаменитость»,"романтическая, комедия-драма",Лоуренс Лау,"Китай, Гонконг",2006,7.0
Меню (фильм),"триллер, чёрная комедия, комедия ужасов",Марк  Майлод,США,2022,7.2
Меня зовут Билл У.,драма,Дэниел Петри,США,,7.2
Меня зовут Брюс,"фильм ужасов, комедия",Брюс Кэмпбелл,США,2007,6.1
Меня зовут Джиг Робот,"боевик, драма, фантастика",Габриеле Майнетти,Италия,2015,7.0
"Мелочь (фильм, 1954)",сатирическая комедия,Григорий Мелик-Авакян,СССР,1954,
Мельница (фильм),"документальная, драма",Игорь Негреску,Украина,2003,
Меню для убийства,детектив,Гэри Нелсон,США,,6.0
Менины (фильм),психологическая драма,Игорь Подольчак,Украина,2008,7.0
Меморандум Квиллера,детектив,Майкл Андерсон,Великобритания,1966,6.3
"Мемфисская красотка (фильм, 1990)","военная драма, Саундтрек",Майкл Кейтон-Джонс,"Великобритания, Великобритания",1990,6.9
Мементо мори (фильм),драма,Николай Гейко,СССР,1991,7.7
Мелодии гор,"документальный, музыкально, этнографический",Суламбек Мамилов,Россия,2006,
Мемуары гейши (фильм),"драма, мелодрама",Роб Маршалл,"США, Япония",2005,7.3
Менеджер по персоналу,"драматический фильм, комедийный фильм",Эран Риклис,"Израиль, Франция, Германия","2010, 1 декабря, 2011",6.6
Мельницы богов,мелодрама,Ли Филипс,США,1988,6.1
Меньше чем ноль (фильм),драма,Марек Каневска,США,1987,6.4
Менильмонтан (фильм),авангард,Димитрий Кирсанов,Франция,1926,7.8
Мельница каменных женщин,фильм ужасов,Джорджо Феррони,"Франция, Италия",1960,6.5
Мельница Сан-Суси (фильм),"драматический фильм, немое кино","Зигфрид Филиппи, Фридрих Цельник",Германия,1926,
Мельница и крест,"драма, исторический фильм",Лех Маевский,"Польша, Швеция",2011,6.9
Мелодрама (фильм),драма,Ален Рене,Франция,1986,7.1
Мелодия на два голоса (фильм),мелодрама,Александр Боголюбов,СССР,1980,6.2
"Мелочи жизни (фильм, 1970)","драма, мелодрама",Клод Соте,"Франция, Италия, Швейцария",1970,7.5
"Мелочи жизни (фильм, 1980)",драма,Вячеслав Криштофович,СССР,1980,6.8
Меломан (фильм),музыкальный фильм,Жорж Мельес,Франция,1903,6.8
Мелодия из подвала,"драма, мелодрама, криминальный фильм",Анри Верней,"Франция, Италия",1963,7.3
Мелодии Дунаевского,документальный фильм,Эрик Пырьев,СССР,1963,
Мелодия для шарманки,драма,Кира Муратова,Украина,2009,6.8
Мелодии белой ночи,мелодрама,"Сергей Соловьёв, Киёси Нисимура","СССР, Япония",1976,7.2
Мелоди в любви,"драма, эротика",Хуберт Франк,ФРГ,1978,4.5
Мелодии Верийского квартала,"мюзикл, комедия",Георгий Шенгелая,СССР,,7.5
Мезозойская история,"драма, мелодрама",Рашид Атамалибеков,"СССР, Азербайджанская ССР",1976,
Мелкий-мелкий буржуа,трагикомедия,Марио Моничелли,Италия,1977,7.8
Мелкие мошенники,"комедия, криминал",Вуди Аллен,США,2000,6.6
Мелкий фермер (фильм),драма,Юбер Шаруэль,Франция,2017,7.0
Мелкий игрок,Фильм нуар,Эдвард Л. Кан,США,1951,6.2
Мелкий снег (фильм),фильм-драма,Кон Итикава,Япония,1983,7.2
Мелкий бес (фильм),драма,Николай Досталь,Россия,1995,7.1
Мелинда и Мелинда,"драма, комедия",Вуди Аллен,США,2004,6.4
"Меланхолия (фильм, 2011)","драма, фантастика",Ларс фон Триер,"Дания, Швеция, Франция, Германия",2011,7.1
"Мексиканец (фильм, 2001)","боевик, комедия",Гор Вербински,США,2001,6.1
"Мексиканец (фильм, 1955)",драматический фильм,Владимир Каплуновский,СССР,1955,6.5
"Мектуб, моя любовь","романтика, драма",Абделлатиф Кешиш,"Франция, Италия",2017,6.5
Мексиканские приключения,"комедия, приключенческий фильм, семейный фильм",Крэйг Шапиро,США,2003,5.2
Меланхолический вальс (фильм),"драма, экранизация",Борис Савченко,СССР,1990,7.3
Мелисса: интимный дневник,"драма, эротика",Лука Гуаданьино,"Италия, Испания, США",2005,4.8
Мейер Лански (фильм),"биографическая, криминальная драма",Иван Роквей,США,2021,6.2
"Межсезонье (фильм, 2021)",криминальная мелодрама,Александр Хант,Россия,2021,6.5
Мейбл за рулём,комедия,"Мэйбл Норманд, Мак Сеннет",США,1914,5.6
"Межсезонье (фильм, 1998)",Мелодрама,Жанет Бак,США,1998,5.8
Международная леди,"боевик, драматический фильм, военный фильм",Тим Уилан,США,1941,6.6
Между рядами,драматический фильм,Томас Штубер,Германия,"2018, 24 мая, 2018",6.9
Между тремя поветриями (фильм),"фильм-биография, исторический фильм","Вирве Аруоя, Яан Тооминг",СССР,1970,6.0
Между пространством,драма,Трэвис Файн,США,2010,6.4
Между отчаянием и надеждой,Документальное кино,Анна Барсукова,Россия,2023,
Между ночью и днём,"драма, фильм-биография",Хорст Э. Брандт,"ГДР, СССР",1969,
Между полночью и рассветом,Фильм нуар,Гордон Дуглас,США,1950,6.5
"Между небом и землёй (фильм, 2005)","романтическая комедия, фэнтези, приключения",Марк Уотерс,США,2005,6.7
Между ним и мной,"драма, семейный фильм, триллер",Лал Джозе,Индия,2012,8.0
"Между небом и землёй (фильм, 1975)",музыкальный фильм,"Михаил Бадикяну, Валерий Харченко",СССР,1975,4.5
Между нами горы,"драма, приключения",Хани Абу-Ассад,США,2017,6.4
"Между мирами (фильм, 2005)",фильм ужасов,Эндрю Лоэр,США,2005,2.7
"Между мирами (фильм, 1991)","фэнтези, драма",Томас Константинидес,США,1991,5.5
Между Дувром и Кале,короткометражный,Жорж Мельес,Франция,1897,5.4
Между любовью и прощанием,драма,Каспер Андреас,США,2008,5.6
"Между двух огней (фильм, 1993, Франция)","боевик, криминальный фильм, драма, мелодрама",Клод Зиди,Франция,1993,5.5
Между двумя женщинами,драма,Джон Эвнет,США,,6.7
Между двумя ливнями,комедия,Генри Лерман,США,1914,5.4
Медная бабушка,драма,Михаил Козаков,,2004,
Между братьями,детектив,Джон Шверт,США,2005,5.3
Меж высоких хлебов,комедия,Леонид Миллионщиков,СССР,1970,6.4
Между ангелом и бесом,"Фантастическая, криминальная, комедия",Жан-Мари Пуаре,Франция,"1995, 13 июня, 1996",5.9
"Между (фильм, 2011)","фильм ужасов, триллер",Фрэнсис Форд Коппола,США,2011,4.7
Медсестра и большие маневры,"итальянская эротическая комедия, комедийный фильм, эротический фильм",Нандо Сисеро,Италия,"7 декабря, 1978, 20 марта, 1979, 22 марта, 1979, 6 июля, 1979, 15 августа, 1979",4.9
"Медуза, как быть честной",комедия,"Джули Браун, Джон Фортенберри",США,1992,7.6
Медсестра в военной палате,"комедийный фильм, фильм-ограбление",Мариано Лоуренти,Италия,"27 ноября, 1979, 12 июня, 1981, 13 сентября, 1982, 27 февраля, 1984",4.6
Медузы (фильм),драма,Этгар Керет,"Израиль, Франция",2007,7.0
Медсестра 3D,"триллер, детектив",Дуглас Арниокоски,США,2013,4.5
Медный кувшин (фильм),"фантастическая, кинокомедия",Морис Турнёр,США,1923,
"Медовый месяц (фильм, 2009)",драматический фильм,Горан Паскалевич,"Сербия, Албания","24 ноября, 2009",6.7
Медовый месяц в Лас-Вегасе,комедия,Эндрю Бергман,США,1992,5.9
"Медовый месяц (фильм, 1956)",лирическая комедия,Надежда Кошеверова,СССР,1956,6.8
Медный ангел,"приключенческий фильм, боевик",Вениамин Дорман,СССР,1984,5.6
Медовый месяц Камиллы,"драма, сказка",Грегори Маккензи,Великобритания,2008,5.9
Медное солнце,Драма,Карен Оганесян,Россия,2018,5.5
"Медея (фильм, 2021)",драма,Александр Зельдович,Россия,2021,5.7
Медиастан,документальный фильм,Johannes Wahlström,Швеция,"2 октября, 2013",7.6
Медвежья свадьба,драма,"Константин Эггерт, Владимир Гардин",СССР,1925,6.2
Медвежонок (фильм),комедия-драма,Мигель Альбаладехо,Испания,2004,7.1
Медисин-Ривер (фильм),"комедия, драма",Стюарт Марголин,Канада,,6.6
Медвежий поцелуй,"мелодрама, драма, фэнтези",Сергей Бодров (старший),"Россия, Германия, Франция, Швеция, Италия, Испания",2002,5.9
"Медея (фильм, 1988)","драматический фильм, артхаус",Ларс фон Триер,Дания,1988,7.1
"Медея (фильм, 1969)",притча,Пьер Паоло Пазолини,"Италия, ФРГ",1969,6.9
Медвежатники,комедия,Билл Форсайт,США,1989,6.1
Медвежатник (фильм),"детектив, психологическая драма",Фрэнк Оз,США,2001,6.8
"Медведь (фильм, 1988)",драма,Жан-Жак Анно,Франция,1988,7.7
Медведь и кукла,комедия,Мишель Девиль,Франция,1970,6.3
Медведь Йоги (фильм),"комедия, мультфильм, приключения, семейный",Эрик Бревиг,"США, Новая Зеландия",2010,4.6
"Медальон (фильм, 2003)","фантастика, боевик, комедия",Гордон Чан,"Гонконг, США",2003,5.2
"Медведь (фильм, 1938)","комедия, водевиль",Исидор Анненский,СССР,1938,7.9
Медведь Бригсби,"комедия, драма",Дейв Маккэри,США,2017,7.3
"Медальон (фильм, 2012)","боевик, триллер",Саймон Уэст,США,2012,5.5
Медведи Камчатки. Начало жизни,документальный,"Ирина Журавлева, Владислав Гришин",Россия,2018,7.9
Медальон Торсена,"фэнтези, семейный фильм",Карстен Миллеруп,Дания,2005,5.3
"Медальон (фильм, 1946)","драма, нуар",Джон Брам,США,1946,7.1
"Медведи (фильм, 2014)","драма, семейный фильм, документальный","Аластер Фовергилл, Кит Шолей",США,2014,7.3
Мегрэ колеблется (телеспектакль),драма,Вячеслав Бровкин,СССР,1982,6.7
Мёд в голове,трагикомедия,Тиль Швайгер,Германия,2014,6.5
Мегрэ и таинственная девушка,полицейский фильм,Патрис Леконт,"Франция, Бельгия","23 февраля, 2022",5.9
Мегрэ расставляет силки,детективный фильм,Жан Деланнуа,"Франция, Италия","29 января, 1958, 5 сентября, 1958",7.2
Мёд (фильм),драма,Семих Капланоглу,"Турция, Германия",2010,7.1
Маяка с реки Бикин,документальный фильм,Юлий Файт,СССР,1958,
"Маяк (фильм, 2012)",драма,Фариз Ахмедов,Азербайджан,2012,
Меган Ливи (фильм),"драма, военный фильм, биографический фильм",Габриэла Каупертвэйте,США,2017,7.1
Мегрэ и дело Сен-Фиакр,детективный фильм,Жан Деланнуа,"Франция, Италия","2 сентября, 1959",7.0
Мег 2: Бездна,"научно-фантастический, боевик",Бен Уитли,"США, Китай",2023,5.0
Мегалополис (фильм),"эпическая, научно-фантастическая, драма",Френсис Форд Коппола,США,,
Мегера (фильм),"Эротика, комедия",Расс Мейер,США,1968,5.6
Мегавилль,"фантастика, триллер",Питер Ленер,США,1990,3.8
"Мёбиус (фильм, 1996)",фантастика,Густаво Москера,Аргентина,1996,6.7
Мёбиус (фильм Эрика Рошана),"драма, триллер",Эрик Рошан,"Франция, Бельгия, Люксембург",2013,6.1
Маяковский смеётся,комедия,"Сергей Юткевич, Анатолий Каранович",СССР,1975,6.2
Мгновения Нью-Йорка,комедия,Денни Гордон,США,2004,4.9
Мега-акула против Меха-акулы,"фильм о монстрах, фильм-катастрофа, комедия ужасов, научно-фантастический фильм",Эмиль Эдвин Свит,США,2014,2.6
Мгновение ока,триллер,Майкл Эптед,США,1994,6.2
Мгла (фильм),"фантастика, ужасы, драма, триллер",Фрэнк Дарабонт,США,2007,7.1
Маяк на краю света (фильм),Приключенческий фильм,Кевин Билингтон,"США, Испания, Швейцария, Лихтенштейн",1971,6.0
Маэстро вор,"приключенческий фильм, боевик",Владимир Шамшурин,Россия,1994,4.7
Маюри (фильм),"фильм-биография, музыкальный фильм, мелодрама",Сингитам Шриниваса Рао,Индия,1984,7.1
"Маяк (фильм, 2019)","артхаус, триллер, мистика, ужасы, стимпанк",Роберт Эггерс,"США, Канада",2019,7.4
Маэстро (фильм),биографический фильм,Брэдли Купер,США,2023,6.7
Машка (фильм),короткометражный фильм,Игорь Каграманов,Россия,2014,6.7
"Машина, убивающая плохих",комедия,Роберто Росселлини,Италия,1952,6.7
Машина смерти,"боевик, фильм ужасов, фантастика, триллер",Стивен Норрингтон,Великобритания,1994,5.6
Машинист (фильм),психологический триллер,Брэд Андерсон,"Испания, США",2004,7.6
"Маяк (фильм, 2006)",драма,Мария Саакян,"Россия, Армения, Нидерланды",2006,6.8
"Машинист (фильм, 1956)",драма,Пьетро Джерми,Италия,1956,7.7
Машина для убийств,Триллер,Дольф Лундгрен,Канада,2010,5.1
Машина войны,"комедийный фильм, боевик, военный фильм",Дэвид Мишо,США,2017,6.0
"Машина времени (фильм, 2002)","научно-фантастический, фильм ужасов",Саймон Уэллс,США,2002,6.0
Машина его мечты,"триллер, комедия",Лаймэн Дэйтон,США,1990,5.1
"Машина времени (фильм, 1960)","фантастика, приключения",Джордж Пал,США,"1960, 25 мая, 1960, 17 августа, 1960, 25 августа, 1960, 2 сентября, 1960",7.5
"Машина (фильм, 2013)","научно-фантастический фильм, фильм-триллер, боевик",Карадог В. Джеймс,Великобритания,2013,6.0
Машина для убийства,боевик,Дэвид Митчелл,Канада,1994,4.3
Машина времени в джакузи,"фантастика, комедия",Стив Пинк,США,2010,6.4
"Маша (фильм, 2020)",Драма,Анастасия Пальчикова,Россия,2020,5.7
"Маша (фильм, 2004)",Комедия,Сергей Ткачёв,Россия,2004,7.2
Мачо и ботан,"комедия, боевик, криминал",Фил Лорд и Кристофер Миллер,США,2012,7.2
"Мачеха (фильм, 1998)",драма,Крис Коламбус,США,1998,6.8
Мачо на досуге,"документальный фильм, комедия, драма",Мика Ронкайнен,"Финляндия, Германия",2009,6.7
